"Sales_Order #","Date","Day","Month","Year","Customer_Age","Age_Group","Customer_Gender","Country","State","Product_Category","Sub_Category","Product","Order_Quantity","Unit_Cost","Unit_Price","Profit","Cost","Revenue"
"000261273","44470","1","October","2021","48","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-550-W Yellow, 40","3","713","1120","1221","2139","3360"
"000261274","44470","1","October","2021","27","Young Adults (25-34)","M","Canada","British Columbia","Bikes","Road Bikes","Road-650 Red, 44","2","713","1120","814","1426","2240"
"000261275","44470","1","October","2021","28","Young Adults (25-34)","M","United Kingdom","England","Bikes","Mountain Bikes","Mountain-200 Black, 38","2","713","1120","814","1426","2240"
"000261276","44470","1","October","2021","40","Adults (35-64)","F","Australia","Queensland","Bikes","Road Bikes","Road-350-W Yellow, 40","2","713","1120","814","1426","2240"
"000261277","44470","1","October","2021","28","Young Adults (25-34)","M","Australia","South Australia","Bikes","Mountain Bikes","Mountain-200 Silver, 38","1","713","1120","407","713","1120"
"000261278","44470","1","October","2021","36","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-650 Red, 62","1","713","1120","407","713","1120"
"000261279","44470","1","October","2021","53","Adults (35-64)","M","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 42","1","713","1120","407","713","1120"
"000261280","44470","1","October","2021","62","Adults (35-64)","M","United States","California","Bikes","Road Bikes","Road-150 Red, 56","1","713","1120","407","713","1120"
"000261281","44471","2","October","2021","28","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 38","3","713","1120","1221","2139","3360"
"000261282","44471","2","October","2021","29","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Silver, 38","3","713","1120","1221","2139","3360"
"000261283","44471","2","October","2021","28","Young Adults (25-34)","F","Australia","New South Wales","Bikes","Mountain Bikes","Mountain-200 Black, 38","2","713","1120","814","1426","2240"
"000261284","44471","2","October","2021","47","Adults (35-64)","F","United States","California","Bikes","Road Bikes","Road-350-W Yellow, 42","2","713","1120","814","1426","2240"
"000261285","44471","2","October","2021","38","Adults (35-64)","F","United Kingdom","England","Bikes","Road Bikes","Road-250 Red, 44","1","713","1120","407","713","1120"
"000261286","44471","2","October","2021","43","Adults (35-64)","M","Australia","New South Wales","Bikes","Road Bikes","Road-150 Red, 52","1","713","1120","407","713","1120"
"000261287","44471","2","October","2021","46","Adults (35-64)","M","United States","California","Bikes","Road Bikes","Road-150 Red, 52","1","713","1120","407","713","1120"
"000261288","44471","2","October","2021","50","Adults (35-64)","M","Australia","Queensland","Bikes","Mountain Bikes","Mountain-500 Black, 44","1","713","1120","407","713","1120"
