invoice_code,customer_code,product_code,client_code,invoice_date,product_price,product_cost,sold_quantity,sub_total,discount,net_sales,tax_amount,total_amount,net_profit_or_gross_amount,net_cash_flow
2026-09-09_1001,34,1047,4000,2026-08-10,85.0,74.0,7,595.0,0.0,595.0,59.5,654.5,77.0,77.0
2026-09-09_1001,34,1022,4000,2026-08-10,100.0,79.0,10,1000.0,0.0,1000.0,100.0,1100.0,210.0,210.0
2026-09-09_1001,34,1066,4000,2026-08-10,94.0,78.0,10,940.0,0.0,940.0,94.0,1034.0,160.0,160.0
2026-10-02_1002,37,1016,4000,2026-09-02,65.0,30.0,7,455.0,0.0,455.0,45.5,500.5,245.0,245.0
2026-10-02_1002,37,1042,4000,2026-09-02,59.0,31.0,7,413.0,0.0,413.0,41.3,454.3,196.0,196.0
2026-10-02_1002,37,1066,4000,2026-09-02,94.0,78.0,1,94.0,0.0,94.0,9.4,103.4,16.0,16.0
2026-09-22_1003,50,1088,4000,2026-08-23,82.0,58.0,5,410.0,0.0,410.0,41.0,451.0,120.0,120.0
2026-09-22_1003,50,1059,4000,2026-08-23,62.0,51.0,6,372.0,0.0,372.0,37.2,409.2,66.0,66.0
2026-09-22_1003,50,1058,4000,2026-08-23,95.0,69.0,10,950.0,0.0,950.0,95.0,1045.0,260.0,260.0
2026-10-01_1004,29,1071,4000,2026-09-01,77.0,39.0,2,154.0,0.0,154.0,15.4,169.4,76.0,76.0
2026-10-01_1004,29,1064,4000,2026-09-01,67.0,34.0,4,268.0,0.0,268.0,26.8,294.8,132.0,132.0
2026-10-01_1004,29,1050,4000,2026-09-01,58.0,26.0,1,58.0,0.0,58.0,5.8,63.8,32.0,32.0
2026-10-01_1005,32,1069,4000,2026-09-01,55.0,37.0,10,550.0,0.0,550.0,55.0,605.0,180.0,180.0
2026-10-01_1005,32,1026,4000,2026-09-01,87.0,69.0,5,435.0,0.0,435.0,43.5,478.5,90.0,90.0
2026-10-01_1005,32,1021,4000,2026-09-01,82.0,45.0,9,738.0,0.0,738.0,73.8,811.8,333.0,333.0
2026-09-05_1006,24,1010,4000,2026-08-06,82.0,58.0,8,656.0,0.0,656.0,65.6,721.6,192.0,192.0
2026-09-05_1006,24,1014,4000,2026-08-06,74.0,59.0,6,444.0,0.0,444.0,44.4,488.4,90.0,90.0
2026-09-05_1006,24,1084,4000,2026-08-06,77.0,45.0,10,770.0,0.0,770.0,77.0,847.0,320.0,320.0
2026-10-03_1007,30,1096,4000,2026-09-03,51.0,39.0,4,204.0,0.0,204.0,20.4,224.4,48.0,48.0
2026-10-03_1007,30,1003,4000,2026-09-03,84.0,66.0,4,336.0,0.0,336.0,33.6,369.6,72.0,72.0
2026-10-03_1007,30,1092,4000,2026-09-03,51.0,14.0,4,204.0,0.0,204.0,20.4,224.4,148.0,148.0
2026-09-28_1008,24,1002,4000,2026-08-29,52.0,33.0,8,416.0,0.0,416.0,41.6,457.6,152.0,152.0
2026-09-28_1008,24,1055,4000,2026-08-29,51.0,14.0,1,51.0,0.0,51.0,5.1,56.1,37.0,37.0
2026-09-28_1008,24,1042,4000,2026-08-29,59.0,31.0,8,472.0,0.0,472.0,47.2,519.2,224.0,224.0
2026-09-14_1009,8,1098,4000,2026-08-15,72.0,37.0,4,288.0,0.0,288.0,28.8,316.8,140.0,140.0
2026-09-14_1009,8,1049,4000,2026-08-15,75.0,54.0,9,675.0,0.0,675.0,67.5,742.5,189.0,189.0
2026-09-14_1009,8,1075,4000,2026-08-15,80.0,64.0,1,80.0,0.0,80.0,8.0,88.0,16.0,16.0
2026-09-17_1010,45,1026,4000,2026-08-18,87.0,69.0,5,435.0,0.0,435.0,43.5,478.5,90.0,90.0
2026-09-17_1010,45,1034,4000,2026-08-18,50.0,17.0,9,450.0,0.0,450.0,45.0,495.0,297.0,297.0
2026-09-17_1010,45,1020,4000,2026-08-18,74.0,37.0,2,148.0,0.0,148.0,14.8,162.8,74.0,74.0
2026-09-18_1011,9,1004,4000,2026-08-19,93.0,67.0,1,93.0,0.0,93.0,9.3,102.3,26.0,26.0
2026-09-18_1011,9,1057,4000,2026-08-19,65.0,39.0,6,390.0,0.0,390.0,39.0,429.0,156.0,156.0
2026-09-18_1011,9,1015,4000,2026-08-19,56.0,28.0,2,112.0,0.0,112.0,11.2,123.2,56.0,56.0
2026-09-10_1012,16,1026,4000,2026-08-11,87.0,69.0,8,696.0,0.0,696.0,69.6,765.6,144.0,144.0
2026-09-10_1012,16,1062,4000,2026-08-11,60.0,47.0,6,360.0,0.0,360.0,36.0,396.0,78.0,78.0
2026-09-10_1012,16,1077,4000,2026-08-11,84.0,62.0,3,252.0,0.0,252.0,25.2,277.2,66.0,66.0
2026-09-19_1013,50,1074,4000,2026-08-20,88.0,74.0,1,88.0,0.0,88.0,8.8,96.8,14.0,14.0
2026-09-19_1013,50,1058,4000,2026-08-20,95.0,69.0,9,855.0,0.0,855.0,85.5,940.5,234.0,234.0
2026-09-19_1013,50,1097,4000,2026-08-20,64.0,38.0,1,64.0,0.0,64.0,6.4,70.4,26.0,26.0
2026-09-14_1014,30,1051,4000,2026-08-15,97.0,81.0,8,776.0,0.0,776.0,77.6,853.6,128.0,128.0
2026-09-14_1014,30,1037,4000,2026-08-15,90.0,55.0,2,180.0,0.0,180.0,18.0,198.0,70.0,70.0
2026-09-14_1014,30,1092,4000,2026-08-15,51.0,14.0,5,255.0,0.0,255.0,25.5,280.5,185.0,185.0
2026-09-08_1015,4,1027,4000,2026-08-09,71.0,32.0,5,355.0,0.0,355.0,35.5,390.5,195.0,195.0
2026-09-08_1015,4,1083,4000,2026-08-09,81.0,44.0,4,324.0,0.0,324.0,32.4,356.4,148.0,148.0
2026-09-08_1015,4,1027,4000,2026-08-09,71.0,32.0,9,639.0,0.0,639.0,63.9,702.9,351.0,351.0
2026-09-17_1016,24,1004,4000,2026-08-18,93.0,67.0,1,93.0,0.0,93.0,9.3,102.3,26.0,26.0
2026-09-17_1016,24,1099,4000,2026-08-18,77.0,60.0,2,154.0,0.0,154.0,15.4,169.4,34.0,34.0
2026-09-17_1016,24,1043,4000,2026-08-18,92.0,71.0,4,368.0,0.0,368.0,36.8,404.8,84.0,84.0
2026-10-02_1017,1,1002,4000,2026-09-02,52.0,33.0,5,260.0,0.0,260.0,26.0,286.0,95.0,95.0
2026-10-02_1017,1,1089,4000,2026-09-02,53.0,15.0,5,265.0,0.0,265.0,26.5,291.5,190.0,190.0
