transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-09_1001 ,Account Receivables,4000,2026-08-10, ,2788.5,CSV_Import
Invoice - 2026-10-02_1002 ,Account Receivables,4000,2026-09-02, ,1058.2,CSV_Import
Invoice - 2026-09-22_1003 ,Account Receivables,4000,2026-08-23, ,1905.2,CSV_Import
Invoice - 2026-10-01_1004 ,Account Receivables,4000,2026-09-01, ,528.0,CSV_Import
Invoice - 2026-10-01_1005 ,Account Receivables,4000,2026-09-01, ,1895.3,CSV_Import
Invoice - 2026-09-05_1006 ,Account Receivables,4000,2026-08-06, ,2057.0,CSV_Import
Invoice - 2026-10-03_1007 ,Account Receivables,4000,2026-09-03, ,818.4,CSV_Import
Invoice - 2026-09-28_1008 ,Account Receivables,4000,2026-08-29, ,1032.9,CSV_Import
Invoice - 2026-09-14_1009 ,Account Receivables,4000,2026-08-15, ,1147.3,CSV_Import
Invoice - 2026-09-17_1010 ,Account Receivables,4000,2026-08-18, ,1136.3,CSV_Import
Invoice - 2026-09-18_1011 ,Account Receivables,4000,2026-08-19, ,654.5,CSV_Import
Invoice - 2026-09-10_1012 ,Account Receivables,4000,2026-08-11, ,1438.8,CSV_Import
Invoice - 2026-09-19_1013 ,Account Receivables,4000,2026-08-20, ,1107.7,CSV_Import
Invoice - 2026-09-14_1014 ,Account Receivables,4000,2026-08-15, ,1332.1,CSV_Import
Invoice - 2026-09-08_1015 ,Account Receivables,4000,2026-08-09, ,1449.8,CSV_Import
Invoice - 2026-09-17_1016 ,Account Receivables,4000,2026-08-18, ,676.5,CSV_Import
Invoice - 2026-10-02_1017 ,Account Receivables,4000,2026-09-02, ,1039.5,CSV_Import
Invoice - 2026-09-15_1018 ,Account Receivables,4000,2026-08-16, ,1607.1,CSV_Import
Invoice - 2026-09-26_1019 ,Account Receivables,4000,2026-08-27, ,910.8,CSV_Import
Invoice - 2026-09-30_1020 ,Account Receivables,4000,2026-08-31, ,1576.3,CSV_Import
Invoice - 2026-09-28_1021 ,Account Receivables,4000,2026-08-29, ,1061.5,CSV_Import
Invoice - 2026-09-27_1022 ,Account Receivables,4000,2026-08-28, ,533.5,CSV_Import
Invoice - 2026-10-02_1023 ,Account Receivables,4000,2026-09-02, ,991.1,CSV_Import
Invoice - 2026-09-27_1024 ,Account Receivables,4000,2026-08-28, ,891.0,CSV_Import
Invoice - 2026-09-26_1025 ,Account Receivables,4000,2026-08-27, ,807.4,CSV_Import
Invoice - 2026-09-25_1026 ,Account Receivables,4000,2026-08-26, ,1482.8,CSV_Import
Invoice - 2026-09-23_1027 ,Account Receivables,4000,2026-08-24, ,1782.0,CSV_Import
Invoice - 2026-09-14_1028 ,Account Receivables,4000,2026-08-15, ,704.0,CSV_Import
Invoice - 2026-09-24_1029 ,Account Receivables,4000,2026-08-25, ,1470.7,CSV_Import
Invoice - 2026-09-15_1030 ,Account Receivables,4000,2026-08-16, ,1017.5,CSV_Import
Invoice - 2026-09-29_1031 ,Account Receivables,4000,2026-08-30, ,1141.8,CSV_Import
Invoice - 2026-09-12_1032 ,Account Receivables,4000,2026-08-13, ,1251.8,CSV_Import
Invoice - 2026-09-29_1033 ,Account Receivables,4000,2026-08-30, ,1743.5,CSV_Import
Invoice - 2026-09-24_1034 ,Account Receivables,4000,2026-08-25, ,1193.5,CSV_Import
Invoice - 2026-09-30_1035 ,Account Receivables,4000,2026-08-31, ,1574.1,CSV_Import
Invoice - 2026-09-30_1036 ,Account Receivables,4000,2026-08-31, ,1169.3,CSV_Import
Invoice - 2026-10-01_1037 ,Account Receivables,4000,2026-09-01, ,672.1,CSV_Import
Invoice - 2026-09-06_1038 ,Account Receivables,4000,2026-08-07, ,1250.7,CSV_Import
Invoice - 2026-09-13_1039 ,Account Receivables,4000,2026-08-14, ,1603.8,CSV_Import
Invoice - 2026-09-13_1040 ,Account Receivables,4000,2026-08-14, ,1057.1,CSV_Import
Invoice - 2026-09-07_1041 ,Account Receivables,4000,2026-08-08, ,1189.1,CSV_Import
Invoice - 2026-09-24_1042 ,Account Receivables,4000,2026-08-25, ,1315.6,CSV_Import
Invoice - 2026-09-22_1043 ,Account Receivables,4000,2026-08-23, ,965.8,CSV_Import
Invoice - 2026-09-10_1044 ,Account Receivables,4000,2026-08-11, ,2165.9,CSV_Import
Invoice - 2026-09-11_1045 ,Account Receivables,4000,2026-08-12, ,1256.2,CSV_Import
Invoice - 2026-09-11_1046 ,Account Receivables,4000,2026-08-12, ,1107.7,CSV_Import
Invoice - 2026-09-17_1047 ,Account Receivables,4000,2026-08-18, ,1512.5,CSV_Import
Invoice - 2026-09-06_1048 ,Account Receivables,4000,2026-08-07, ,2193.4,CSV_Import
Invoice - 2026-09-17_1049 ,Account Receivables,4000,2026-08-18, ,1371.7,CSV_Import
Invoice - 2026-09-15_1050 ,Account Receivables,4000,2026-08-16, ,1421.2,CSV_Import
Invoice - 2026-09-21_1051 ,Account Receivables,4000,2026-08-22, ,1063.7,CSV_Import
