transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-09_1001 ,Tax Payable,4000,2026-08-10,253.5, ,CSV_Import
Invoice - 2026-10-02_1002 ,Tax Payable,4000,2026-09-02,96.2, ,CSV_Import
Invoice - 2026-09-22_1003 ,Tax Payable,4000,2026-08-23,173.2, ,CSV_Import
Invoice - 2026-10-01_1004 ,Tax Payable,4000,2026-09-01,48.0, ,CSV_Import
Invoice - 2026-10-01_1005 ,Tax Payable,4000,2026-09-01,172.3, ,CSV_Import
Invoice - 2026-09-05_1006 ,Tax Payable,4000,2026-08-06,187.0, ,CSV_Import
Invoice - 2026-10-03_1007 ,Tax Payable,4000,2026-09-03,74.4, ,CSV_Import
Invoice - 2026-09-28_1008 ,Tax Payable,4000,2026-08-29,93.9, ,CSV_Import
Invoice - 2026-09-14_1009 ,Tax Payable,4000,2026-08-15,104.3, ,CSV_Import
Invoice - 2026-09-17_1010 ,Tax Payable,4000,2026-08-18,103.3, ,CSV_Import
Invoice - 2026-09-18_1011 ,Tax Payable,4000,2026-08-19,59.5, ,CSV_Import
Invoice - 2026-09-10_1012 ,Tax Payable,4000,2026-08-11,130.8, ,CSV_Import
Invoice - 2026-09-19_1013 ,Tax Payable,4000,2026-08-20,100.7, ,CSV_Import
Invoice - 2026-09-14_1014 ,Tax Payable,4000,2026-08-15,121.1, ,CSV_Import
Invoice - 2026-09-08_1015 ,Tax Payable,4000,2026-08-09,131.8, ,CSV_Import
Invoice - 2026-09-17_1016 ,Tax Payable,4000,2026-08-18,61.5, ,CSV_Import
Invoice - 2026-10-02_1017 ,Tax Payable,4000,2026-09-02,94.5, ,CSV_Import
Invoice - 2026-09-15_1018 ,Tax Payable,4000,2026-08-16,146.1, ,CSV_Import
Invoice - 2026-09-26_1019 ,Tax Payable,4000,2026-08-27,82.8, ,CSV_Import
Invoice - 2026-09-30_1020 ,Tax Payable,4000,2026-08-31,143.3, ,CSV_Import
Invoice - 2026-09-28_1021 ,Tax Payable,4000,2026-08-29,96.5, ,CSV_Import
Invoice - 2026-09-27_1022 ,Tax Payable,4000,2026-08-28,48.5, ,CSV_Import
Invoice - 2026-10-02_1023 ,Tax Payable,4000,2026-09-02,90.1, ,CSV_Import
Invoice - 2026-09-27_1024 ,Tax Payable,4000,2026-08-28,81.0, ,CSV_Import
Invoice - 2026-09-26_1025 ,Tax Payable,4000,2026-08-27,73.4, ,CSV_Import
Invoice - 2026-09-25_1026 ,Tax Payable,4000,2026-08-26,134.8, ,CSV_Import
Invoice - 2026-09-23_1027 ,Tax Payable,4000,2026-08-24,162.0, ,CSV_Import
Invoice - 2026-09-14_1028 ,Tax Payable,4000,2026-08-15,64.0, ,CSV_Import
Invoice - 2026-09-24_1029 ,Tax Payable,4000,2026-08-25,133.7, ,CSV_Import
Invoice - 2026-09-15_1030 ,Tax Payable,4000,2026-08-16,92.5, ,CSV_Import
Invoice - 2026-09-29_1031 ,Tax Payable,4000,2026-08-30,103.8, ,CSV_Import
Invoice - 2026-09-12_1032 ,Tax Payable,4000,2026-08-13,113.8, ,CSV_Import
Invoice - 2026-09-29_1033 ,Tax Payable,4000,2026-08-30,158.5, ,CSV_Import
Invoice - 2026-09-24_1034 ,Tax Payable,4000,2026-08-25,108.5, ,CSV_Import
Invoice - 2026-09-30_1035 ,Tax Payable,4000,2026-08-31,143.1, ,CSV_Import
Invoice - 2026-09-30_1036 ,Tax Payable,4000,2026-08-31,106.3, ,CSV_Import
Invoice - 2026-10-01_1037 ,Tax Payable,4000,2026-09-01,61.1, ,CSV_Import
Invoice - 2026-09-06_1038 ,Tax Payable,4000,2026-08-07,113.7, ,CSV_Import
Invoice - 2026-09-13_1039 ,Tax Payable,4000,2026-08-14,145.8, ,CSV_Import
Invoice - 2026-09-13_1040 ,Tax Payable,4000,2026-08-14,96.1, ,CSV_Import
Invoice - 2026-09-07_1041 ,Tax Payable,4000,2026-08-08,108.1, ,CSV_Import
Invoice - 2026-09-24_1042 ,Tax Payable,4000,2026-08-25,119.6, ,CSV_Import
Invoice - 2026-09-22_1043 ,Tax Payable,4000,2026-08-23,87.8, ,CSV_Import
Invoice - 2026-09-10_1044 ,Tax Payable,4000,2026-08-11,196.9, ,CSV_Import
Invoice - 2026-09-11_1045 ,Tax Payable,4000,2026-08-12,114.2, ,CSV_Import
Invoice - 2026-09-11_1046 ,Tax Payable,4000,2026-08-12,100.7, ,CSV_Import
Invoice - 2026-09-17_1047 ,Tax Payable,4000,2026-08-18,137.5, ,CSV_Import
Invoice - 2026-09-06_1048 ,Tax Payable,4000,2026-08-07,199.4, ,CSV_Import
Invoice - 2026-09-17_1049 ,Tax Payable,4000,2026-08-18,124.7, ,CSV_Import
Invoice - 2026-09-15_1050 ,Tax Payable,4000,2026-08-16,129.2, ,CSV_Import
Invoice - 2026-09-21_1051 ,Tax Payable,4000,2026-08-22,96.7, ,CSV_Import
