transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-09_1001 ,Cash/Bank,4000,2026-08-10,30.0, ,CSV_Import
Invoice - 2026-10-02_1002 ,Cash/Bank,4000,2026-09-02,29.0, ,CSV_Import
Invoice - 2026-09-22_1003 ,Cash/Bank,4000,2026-08-23,27.0, ,CSV_Import
Invoice - 2026-10-01_1004 ,Cash/Bank,4000,2026-09-01,24.0, ,CSV_Import
Invoice - 2026-10-01_1005 ,Cash/Bank,4000,2026-09-01,22.0, ,CSV_Import
Invoice - 2026-09-05_1006 ,Cash/Bank,4000,2026-08-06,22.0, ,CSV_Import
Invoice - 2026-10-03_1007 ,Cash/Bank,4000,2026-09-03,28.0, ,CSV_Import
Invoice - 2026-09-28_1008 ,Cash/Bank,4000,2026-08-29,27.0, ,CSV_Import
Invoice - 2026-09-14_1009 ,Cash/Bank,4000,2026-08-15,29.0, ,CSV_Import
Invoice - 2026-09-17_1010 ,Cash/Bank,4000,2026-08-18,23.0, ,CSV_Import
Invoice - 2026-09-18_1011 ,Cash/Bank,4000,2026-08-19,25.0, ,CSV_Import
Invoice - 2026-09-10_1012 ,Cash/Bank,4000,2026-08-11,24.0, ,CSV_Import
Invoice - 2026-09-19_1013 ,Cash/Bank,4000,2026-08-20,23.0, ,CSV_Import
Invoice - 2026-09-14_1014 ,Cash/Bank,4000,2026-08-15,24.0, ,CSV_Import
Invoice - 2026-09-08_1015 ,Cash/Bank,4000,2026-08-09,23.0, ,CSV_Import
Invoice - 2026-09-17_1016 ,Cash/Bank,4000,2026-08-18,24.0, ,CSV_Import
Invoice - 2026-10-02_1017 ,Cash/Bank,4000,2026-09-02,22.0, ,CSV_Import
Invoice - 2026-09-15_1018 ,Cash/Bank,4000,2026-08-16,22.0, ,CSV_Import
Invoice - 2026-09-26_1019 ,Cash/Bank,4000,2026-08-27,22.0, ,CSV_Import
Invoice - 2026-09-30_1020 ,Cash/Bank,4000,2026-08-31,21.0, ,CSV_Import
Invoice - 2026-09-28_1021 ,Cash/Bank,4000,2026-08-29,29.0, ,CSV_Import
Invoice - 2026-09-27_1022 ,Cash/Bank,4000,2026-08-28,20.0, ,CSV_Import
Invoice - 2026-10-02_1023 ,Cash/Bank,4000,2026-09-02,22.0, ,CSV_Import
Invoice - 2026-09-27_1024 ,Cash/Bank,4000,2026-08-28,20.0, ,CSV_Import
Invoice - 2026-09-26_1025 ,Cash/Bank,4000,2026-08-27,21.0, ,CSV_Import
Invoice - 2026-09-25_1026 ,Cash/Bank,4000,2026-08-26,26.0, ,CSV_Import
Invoice - 2026-09-23_1027 ,Cash/Bank,4000,2026-08-24,23.0, ,CSV_Import
Invoice - 2026-09-14_1028 ,Cash/Bank,4000,2026-08-15,24.0, ,CSV_Import
Invoice - 2026-09-24_1029 ,Cash/Bank,4000,2026-08-25,23.0, ,CSV_Import
Invoice - 2026-09-15_1030 ,Cash/Bank,4000,2026-08-16,25.0, ,CSV_Import
Invoice - 2026-09-29_1031 ,Cash/Bank,4000,2026-08-30,22.0, ,CSV_Import
Invoice - 2026-09-12_1032 ,Cash/Bank,4000,2026-08-13,20.0, ,CSV_Import
Invoice - 2026-09-29_1033 ,Cash/Bank,4000,2026-08-30,29.0, ,CSV_Import
Invoice - 2026-09-24_1034 ,Cash/Bank,4000,2026-08-25,27.0, ,CSV_Import
Invoice - 2026-09-30_1035 ,Cash/Bank,4000,2026-08-31,28.0, ,CSV_Import
Invoice - 2026-09-30_1036 ,Cash/Bank,4000,2026-08-31,29.0, ,CSV_Import
Invoice - 2026-10-01_1037 ,Cash/Bank,4000,2026-09-01,26.0, ,CSV_Import
Invoice - 2026-09-06_1038 ,Cash/Bank,4000,2026-08-07,20.0, ,CSV_Import
Invoice - 2026-09-13_1039 ,Cash/Bank,4000,2026-08-14,25.0, ,CSV_Import
Invoice - 2026-09-13_1040 ,Cash/Bank,4000,2026-08-14,24.0, ,CSV_Import
Invoice - 2026-09-07_1041 ,Cash/Bank,4000,2026-08-08,25.0, ,CSV_Import
Invoice - 2026-09-24_1042 ,Cash/Bank,4000,2026-08-25,29.0, ,CSV_Import
Invoice - 2026-09-22_1043 ,Cash/Bank,4000,2026-08-23,27.0, ,CSV_Import
Invoice - 2026-09-10_1044 ,Cash/Bank,4000,2026-08-11,25.0, ,CSV_Import
Invoice - 2026-09-11_1045 ,Cash/Bank,4000,2026-08-12,22.0, ,CSV_Import
Invoice - 2026-09-11_1046 ,Cash/Bank,4000,2026-08-12,30.0, ,CSV_Import
Invoice - 2026-09-17_1047 ,Cash/Bank,4000,2026-08-18,29.0, ,CSV_Import
Invoice - 2026-09-06_1048 ,Cash/Bank,4000,2026-08-07,27.0, ,CSV_Import
Invoice - 2026-09-17_1049 ,Cash/Bank,4000,2026-08-18,21.0, ,CSV_Import
Invoice - 2026-09-15_1050 ,Cash/Bank,4000,2026-08-16,20.0, ,CSV_Import
Invoice - 2026-09-21_1051 ,Cash/Bank,4000,2026-08-22,20.0, ,CSV_Import
