transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-09_1001 ,Cost Of Good Sold,4000,2026-08-10,2088.0, ,CSV_Import
Invoice - 2026-10-02_1002 ,Cost Of Good Sold,4000,2026-09-02,505.0, ,CSV_Import
Invoice - 2026-09-22_1003 ,Cost Of Good Sold,4000,2026-08-23,1286.0, ,CSV_Import
Invoice - 2026-10-01_1004 ,Cost Of Good Sold,4000,2026-09-01,240.0, ,CSV_Import
Invoice - 2026-10-01_1005 ,Cost Of Good Sold,4000,2026-09-01,1120.0, ,CSV_Import
Invoice - 2026-09-05_1006 ,Cost Of Good Sold,4000,2026-08-06,1268.0, ,CSV_Import
Invoice - 2026-10-03_1007 ,Cost Of Good Sold,4000,2026-09-03,476.0, ,CSV_Import
Invoice - 2026-09-28_1008 ,Cost Of Good Sold,4000,2026-08-29,526.0, ,CSV_Import
Invoice - 2026-09-14_1009 ,Cost Of Good Sold,4000,2026-08-15,698.0, ,CSV_Import
Invoice - 2026-09-17_1010 ,Cost Of Good Sold,4000,2026-08-18,572.0, ,CSV_Import
Invoice - 2026-09-18_1011 ,Cost Of Good Sold,4000,2026-08-19,357.0, ,CSV_Import
Invoice - 2026-09-10_1012 ,Cost Of Good Sold,4000,2026-08-11,1020.0, ,CSV_Import
Invoice - 2026-09-19_1013 ,Cost Of Good Sold,4000,2026-08-20,733.0, ,CSV_Import
Invoice - 2026-09-14_1014 ,Cost Of Good Sold,4000,2026-08-15,828.0, ,CSV_Import
Invoice - 2026-09-08_1015 ,Cost Of Good Sold,4000,2026-08-09,624.0, ,CSV_Import
Invoice - 2026-09-17_1016 ,Cost Of Good Sold,4000,2026-08-18,471.0, ,CSV_Import
Invoice - 2026-10-02_1017 ,Cost Of Good Sold,4000,2026-09-02,569.0, ,CSV_Import
Invoice - 2026-09-15_1018 ,Cost Of Good Sold,4000,2026-08-16,1053.0, ,CSV_Import
Invoice - 2026-09-26_1019 ,Cost Of Good Sold,4000,2026-08-27,573.0, ,CSV_Import
Invoice - 2026-09-30_1020 ,Cost Of Good Sold,4000,2026-08-31,713.0, ,CSV_Import
Invoice - 2026-09-28_1021 ,Cost Of Good Sold,4000,2026-08-29,787.0, ,CSV_Import
Invoice - 2026-09-27_1022 ,Cost Of Good Sold,4000,2026-08-28,307.0, ,CSV_Import
Invoice - 2026-10-02_1023 ,Cost Of Good Sold,4000,2026-09-02,738.0, ,CSV_Import
Invoice - 2026-09-27_1024 ,Cost Of Good Sold,4000,2026-08-28,608.0, ,CSV_Import
Invoice - 2026-09-26_1025 ,Cost Of Good Sold,4000,2026-08-27,506.0, ,CSV_Import
Invoice - 2026-09-25_1026 ,Cost Of Good Sold,4000,2026-08-26,1071.0, ,CSV_Import
Invoice - 2026-09-23_1027 ,Cost Of Good Sold,4000,2026-08-24,1094.0, ,CSV_Import
Invoice - 2026-09-14_1028 ,Cost Of Good Sold,4000,2026-08-15,356.0, ,CSV_Import
Invoice - 2026-09-24_1029 ,Cost Of Good Sold,4000,2026-08-25,879.0, ,CSV_Import
Invoice - 2026-09-15_1030 ,Cost Of Good Sold,4000,2026-08-16,683.0, ,CSV_Import
Invoice - 2026-09-29_1031 ,Cost Of Good Sold,4000,2026-08-30,552.0, ,CSV_Import
Invoice - 2026-09-12_1032 ,Cost Of Good Sold,4000,2026-08-13,683.0, ,CSV_Import
Invoice - 2026-09-29_1033 ,Cost Of Good Sold,4000,2026-08-30,1187.0, ,CSV_Import
Invoice - 2026-09-24_1034 ,Cost Of Good Sold,4000,2026-08-25,830.0, ,CSV_Import
Invoice - 2026-09-30_1035 ,Cost Of Good Sold,4000,2026-08-31,939.0, ,CSV_Import
Invoice - 2026-09-30_1036 ,Cost Of Good Sold,4000,2026-08-31,737.0, ,CSV_Import
Invoice - 2026-10-01_1037 ,Cost Of Good Sold,4000,2026-09-01,390.0, ,CSV_Import
Invoice - 2026-09-06_1038 ,Cost Of Good Sold,4000,2026-08-07,678.0, ,CSV_Import
Invoice - 2026-09-13_1039 ,Cost Of Good Sold,4000,2026-08-14,856.0, ,CSV_Import
Invoice - 2026-09-13_1040 ,Cost Of Good Sold,4000,2026-08-14,680.0, ,CSV_Import
Invoice - 2026-09-07_1041 ,Cost Of Good Sold,4000,2026-08-08,500.0, ,CSV_Import
Invoice - 2026-09-24_1042 ,Cost Of Good Sold,4000,2026-08-25,897.0, ,CSV_Import
Invoice - 2026-09-22_1043 ,Cost Of Good Sold,4000,2026-08-23,634.0, ,CSV_Import
Invoice - 2026-09-10_1044 ,Cost Of Good Sold,4000,2026-08-11,1177.0, ,CSV_Import
Invoice - 2026-09-11_1045 ,Cost Of Good Sold,4000,2026-08-12,837.0, ,CSV_Import
Invoice - 2026-09-11_1046 ,Cost Of Good Sold,4000,2026-08-12,692.0, ,CSV_Import
Invoice - 2026-09-17_1047 ,Cost Of Good Sold,4000,2026-08-18,875.0, ,CSV_Import
Invoice - 2026-09-06_1048 ,Cost Of Good Sold,4000,2026-08-07,1210.0, ,CSV_Import
Invoice - 2026-09-17_1049 ,Cost Of Good Sold,4000,2026-08-18,686.0, ,CSV_Import
Invoice - 2026-09-15_1050 ,Cost Of Good Sold,4000,2026-08-16,882.0, ,CSV_Import
Invoice - 2026-09-21_1051 ,Cost Of Good Sold,4000,2026-08-22,730.0, ,CSV_Import
Invoice - 2026-09-08_1052 ,Cost Of Good Sold,4000,2026-08-09,674.0, ,CSV_Import
Invoice - 2026-09-12_1053 ,Cost Of Good Sold,4000,2026-08-13,303.0, ,CSV_Import
Invoice - 2026-09-21_1054 ,Cost Of Good Sold,4000,2026-08-22,815.0, ,CSV_Import
Invoice - 2026-09-11_1055 ,Cost Of Good Sold,4000,2026-08-12,999.0, ,CSV_Import
Invoice - 2026-10-02_1056 ,Cost Of Good Sold,4000,2026-09-02,350.0, ,CSV_Import
Invoice - 2026-09-16_1057 ,Cost Of Good Sold,4000,2026-08-17,327.0, ,CSV_Import
Invoice - 2026-09-08_1058 ,Cost Of Good Sold,4000,2026-08-09,950.0, ,CSV_Import
Invoice - 2026-09-06_1059 ,Cost Of Good Sold,4000,2026-08-07,510.0, ,CSV_Import
Invoice - 2026-09-24_1060 ,Cost Of Good Sold,4000,2026-08-25,485.0, ,CSV_Import
Invoice - 2026-10-01_1061 ,Cost Of Good Sold,4000,2026-09-01,326.0, ,CSV_Import
Invoice - 2026-09-23_1062 ,Cost Of Good Sold,4000,2026-08-24,574.0, ,CSV_Import
Invoice - 2026-10-03_1063 ,Cost Of Good Sold,4000,2026-09-03,197.0, ,CSV_Import
Invoice - 2026-09-11_1064 ,Cost Of Good Sold,4000,2026-08-12,534.0, ,CSV_Import
Invoice - 2026-09-30_1065 ,Cost Of Good Sold,4000,2026-08-31,680.0, ,CSV_Import
Invoice - 2026-09-09_1066 ,Cost Of Good Sold,4000,2026-08-10,642.0, ,CSV_Import
Invoice - 2026-09-09_1067 ,Cost Of Good Sold,4000,2026-08-10,880.0, ,CSV_Import
Invoice - 2026-09-12_1068 ,Cost Of Good Sold,4000,2026-08-13,1002.0, ,CSV_Import
Invoice - 2026-09-29_1069 ,Cost Of Good Sold,4000,2026-08-30,834.0, ,CSV_Import
Invoice - 2026-09-16_1070 ,Cost Of Good Sold,4000,2026-08-17,412.0, ,CSV_Import
Invoice - 2026-09-27_1071 ,Cost Of Good Sold,4000,2026-08-28,1071.0, ,CSV_Import
Invoice - 2026-10-03_1072 ,Cost Of Good Sold,4000,2026-09-03,205.0, ,CSV_Import
