transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-08_1052 (employee) ,Sales Discount,4000,2026-08-09,29.4, ,CSV_Import
Invoice - 2026-09-08_1052 (result) ,Sales Discount,4000,2026-08-09,23.7, ,CSV_Import
Invoice - 2026-09-12_1053 (usually) ,Sales Discount,4000,2026-08-13,12.3, ,CSV_Import
Invoice - 2026-09-12_1053 (smile) ,Sales Discount,4000,2026-08-13,9.3, ,CSV_Import
Invoice - 2026-09-21_1054 (agency) ,Sales Discount,4000,2026-08-22,35.0, ,CSV_Import
Invoice - 2026-09-21_1054 (stock) ,Sales Discount,4000,2026-08-22,23.0, ,CSV_Import
Invoice - 2026-09-11_1055 (yet) ,Sales Discount,4000,2026-08-12,19.25, ,CSV_Import
Invoice - 2026-09-11_1055 (front) ,Sales Discount,4000,2026-08-12,44.0, ,CSV_Import
Invoice - 2026-10-02_1056 (small) ,Sales Discount,4000,2026-09-02,11.55, ,CSV_Import
Invoice - 2026-10-02_1056 (guess) ,Sales Discount,4000,2026-09-02,25.0, ,CSV_Import
Invoice - 2026-09-16_1057 (no) ,Sales Discount,4000,2026-08-17,20.3, ,CSV_Import
Invoice - 2026-09-16_1057 (management) ,Sales Discount,4000,2026-08-17,10.5, ,CSV_Import
Invoice - 2026-09-08_1058 (employee) ,Sales Discount,4000,2026-08-09,37.8, ,CSV_Import
Invoice - 2026-09-08_1058 (hospital) ,Sales Discount,4000,2026-08-09,28.35, ,CSV_Import
Invoice - 2026-09-06_1059 (base) ,Sales Discount,4000,2026-08-07,4.1, ,CSV_Import
Invoice - 2026-09-06_1059 (resource) ,Sales Discount,4000,2026-08-07,37.35, ,CSV_Import
Invoice - 2026-09-24_1060 (material) ,Sales Discount,4000,2026-08-25,19.95, ,CSV_Import
Invoice - 2026-09-24_1060 (commercial) ,Sales Discount,4000,2026-08-25,10.2, ,CSV_Import
Invoice - 2026-10-01_1061 (guess) ,Sales Discount,4000,2026-09-01,20.0, ,CSV_Import
