transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,source
Invoice - 2026-09-09_1001 ,Account Receivables,4000,2026-08-10,2788.5, ,CSV_Import
Invoice - 2026-10-02_1002 ,Account Receivables,4000,2026-09-02,1058.2, ,CSV_Import
Invoice - 2026-09-22_1003 ,Account Receivables,4000,2026-08-23,1905.2, ,CSV_Import
Invoice - 2026-10-01_1004 ,Account Receivables,4000,2026-09-01,528.0, ,CSV_Import
Invoice - 2026-10-01_1005 ,Account Receivables,4000,2026-09-01,1895.3, ,CSV_Import
Invoice - 2026-09-05_1006 ,Account Receivables,4000,2026-08-06,2057.0, ,CSV_Import
Invoice - 2026-10-03_1007 ,Account Receivables,4000,2026-09-03,818.4, ,CSV_Import
Invoice - 2026-09-28_1008 ,Account Receivables,4000,2026-08-29,1032.9, ,CSV_Import
Invoice - 2026-09-14_1009 ,Account Receivables,4000,2026-08-15,1147.3, ,CSV_Import
Invoice - 2026-09-17_1010 ,Account Receivables,4000,2026-08-18,1136.3, ,CSV_Import
Invoice - 2026-09-18_1011 ,Account Receivables,4000,2026-08-19,654.5, ,CSV_Import
Invoice - 2026-09-10_1012 ,Account Receivables,4000,2026-08-11,1438.8, ,CSV_Import
Invoice - 2026-09-19_1013 ,Account Receivables,4000,2026-08-20,1107.7, ,CSV_Import
Invoice - 2026-09-14_1014 ,Account Receivables,4000,2026-08-15,1332.1, ,CSV_Import
Invoice - 2026-09-08_1015 ,Account Receivables,4000,2026-08-09,1449.8, ,CSV_Import
Invoice - 2026-09-17_1016 ,Account Receivables,4000,2026-08-18,676.5, ,CSV_Import
Invoice - 2026-10-02_1017 ,Account Receivables,4000,2026-09-02,1039.5, ,CSV_Import
Invoice - 2026-09-15_1018 ,Account Receivables,4000,2026-08-16,1607.1, ,CSV_Import
Invoice - 2026-09-26_1019 ,Account Receivables,4000,2026-08-27,910.8, ,CSV_Import
Invoice - 2026-09-30_1020 ,Account Receivables,4000,2026-08-31,1576.3, ,CSV_Import
Invoice - 2026-09-28_1021 ,Account Receivables,4000,2026-08-29,1061.5, ,CSV_Import
Invoice - 2026-09-27_1022 ,Account Receivables,4000,2026-08-28,533.5, ,CSV_Import
Invoice - 2026-10-02_1023 ,Account Receivables,4000,2026-09-02,991.1, ,CSV_Import
Invoice - 2026-09-27_1024 ,Account Receivables,4000,2026-08-28,891.0, ,CSV_Import
Invoice - 2026-09-26_1025 ,Account Receivables,4000,2026-08-27,807.4, ,CSV_Import
Invoice - 2026-09-25_1026 ,Account Receivables,4000,2026-08-26,1482.8, ,CSV_Import
Invoice - 2026-09-23_1027 ,Account Receivables,4000,2026-08-24,1782.0, ,CSV_Import
Invoice - 2026-09-14_1028 ,Account Receivables,4000,2026-08-15,704.0, ,CSV_Import
Invoice - 2026-09-24_1029 ,Account Receivables,4000,2026-08-25,1470.7, ,CSV_Import
Invoice - 2026-09-15_1030 ,Account Receivables,4000,2026-08-16,1017.5, ,CSV_Import
Invoice - 2026-09-29_1031 ,Account Receivables,4000,2026-08-30,1141.8, ,CSV_Import
Invoice - 2026-09-12_1032 ,Account Receivables,4000,2026-08-13,1251.8, ,CSV_Import
Invoice - 2026-09-29_1033 ,Account Receivables,4000,2026-08-30,1743.5, ,CSV_Import
Invoice - 2026-09-24_1034 ,Account Receivables,4000,2026-08-25,1193.5, ,CSV_Import
Invoice - 2026-09-30_1035 ,Account Receivables,4000,2026-08-31,1574.1, ,CSV_Import
Invoice - 2026-09-30_1036 ,Account Receivables,4000,2026-08-31,1169.3, ,CSV_Import
Invoice - 2026-10-01_1037 ,Account Receivables,4000,2026-09-01,672.1, ,CSV_Import
Invoice - 2026-09-06_1038 ,Account Receivables,4000,2026-08-07,1250.7, ,CSV_Import
Invoice - 2026-09-13_1039 ,Account Receivables,4000,2026-08-14,1603.8, ,CSV_Import
Invoice - 2026-09-13_1040 ,Account Receivables,4000,2026-08-14,1057.1, ,CSV_Import
Invoice - 2026-09-07_1041 ,Account Receivables,4000,2026-08-08,1189.1, ,CSV_Import
Invoice - 2026-09-24_1042 ,Account Receivables,4000,2026-08-25,1315.6, ,CSV_Import
Invoice - 2026-09-22_1043 ,Account Receivables,4000,2026-08-23,965.8, ,CSV_Import
Invoice - 2026-09-10_1044 ,Account Receivables,4000,2026-08-11,2165.9, ,CSV_Import
Invoice - 2026-09-11_1045 ,Account Receivables,4000,2026-08-12,1256.2, ,CSV_Import
Invoice - 2026-09-11_1046 ,Account Receivables,4000,2026-08-12,1107.7, ,CSV_Import
Invoice - 2026-09-17_1047 ,Account Receivables,4000,2026-08-18,1512.5, ,CSV_Import
Invoice - 2026-09-06_1048 ,Account Receivables,4000,2026-08-07,2193.4, ,CSV_Import
Invoice - 2026-09-17_1049 ,Account Receivables,4000,2026-08-18,1371.7, ,CSV_Import
Invoice - 2026-09-15_1050 ,Account Receivables,4000,2026-08-16,1421.2, ,CSV_Import
Invoice - 2026-09-21_1051 ,Account Receivables,4000,2026-08-22,1063.7, ,CSV_Import
Invoice - 2026-09-08_1052 ,Account Receivables,4000,2026-08-09,1109.79, ,CSV_Import
Invoice - 2026-09-12_1053 ,Account Receivables,4000,2026-08-13,451.44, ,CSV_Import
Invoice - 2026-09-21_1054 ,Account Receivables,4000,2026-08-22,1212.2, ,CSV_Import
Invoice - 2026-09-11_1055 ,Account Receivables,4000,2026-08-12,1321.93, ,CSV_Import
Invoice - 2026-10-02_1056 ,Account Receivables,4000,2026-09-02,763.9, ,CSV_Import
Invoice - 2026-09-16_1057 ,Account Receivables,4000,2026-08-17,643.72, ,CSV_Import
Invoice - 2026-09-08_1058 ,Account Receivables,4000,2026-08-09,1382.54, ,CSV_Import
Invoice - 2026-09-06_1059 ,Account Receivables,4000,2026-08-07,866.31, ,CSV_Import
Invoice - 2026-09-24_1060 ,Account Receivables,4000,2026-08-25,630.14, ,CSV_Import
Invoice - 2026-10-01_1061 ,Account Receivables,4000,2026-09-01,752.4, ,CSV_Import
Invoice - 2026-09-23_1062 ,Account Receivables,4000,2026-08-24,919.6, ,CSV_Import
Invoice - 2026-10-03_1063 ,Account Receivables,4000,2026-09-03,544.45, ,CSV_Import
Invoice - 2026-09-11_1064 ,Account Receivables,4000,2026-08-12,1119.2, ,CSV_Import
Invoice - 2026-09-30_1065 ,Account Receivables,4000,2026-08-31,1162.04, ,CSV_Import
Invoice - 2026-09-09_1066 ,Account Receivables,4000,2026-08-10,901.84, ,CSV_Import
Invoice - 2026-09-09_1067 ,Account Receivables,4000,2026-08-10,1513.16, ,CSV_Import
Invoice - 2026-09-12_1068 ,Account Receivables,4000,2026-08-13,1282.22, ,CSV_Import
Invoice - 2026-09-29_1069 ,Account Receivables,4000,2026-08-30,1205.93, ,CSV_Import
Invoice - 2026-09-16_1070 ,Account Receivables,4000,2026-08-17,631.18, ,CSV_Import
Invoice - 2026-09-27_1071 ,Account Receivables,4000,2026-08-28,1492.26, ,CSV_Import
Invoice - 2026-10-03_1072 ,Account Receivables,4000,2026-09-03,512.05, ,CSV_Import
Invoice - 2026-09-11_1073 ,Account Receivables,4000,2026-08-12,1380.45, ,CSV_Import
Invoice - 2026-09-13_1074 ,Account Receivables,4000,2026-08-14,652.08, ,CSV_Import
Invoice - 2026-09-12_1075 ,Account Receivables,4000,2026-08-13,457.71, ,CSV_Import
Invoice - 2026-09-23_1076 ,Account Receivables,4000,2026-08-24,512.05, ,CSV_Import
Invoice - 2026-09-27_1077 ,Account Receivables,4000,2026-08-28,670.89, ,CSV_Import
Invoice - 2026-09-18_1078 ,Account Receivables,4000,2026-08-19,294.69, ,CSV_Import
Invoice - 2026-09-07_1079 ,Account Receivables,4000,2026-08-08,751.36, ,CSV_Import
Invoice - 2026-09-10_1080 ,Account Receivables,4000,2026-08-11,427.41, ,CSV_Import
Invoice - 2026-09-28_1081 ,Account Receivables,4000,2026-08-29,664.62, ,CSV_Import
Invoice - 2026-09-23_1082 ,Account Receivables,4000,2026-08-24,1322.97, ,CSV_Import
Invoice - 2026-09-15_1083 ,Account Receivables,4000,2026-08-16,1331.33, ,CSV_Import
Invoice - 2026-09-11_1084 ,Account Receivables,4000,2026-08-12,1187.12, ,CSV_Import
Invoice - 2026-09-17_1085 ,Account Receivables,4000,2026-08-18,1257.14, ,CSV_Import
Invoice - 2026-09-25_1086 ,Account Receivables,4000,2026-08-26,1015.74, ,CSV_Import
Invoice - 2026-09-10_1087 ,Account Receivables,4000,2026-08-11,935.28, ,CSV_Import
Invoice - 2026-09-24_1088 ,Account Receivables,4000,2026-08-25,877.8, ,CSV_Import
Invoice - 2026-09-09_1089 ,Account Receivables,4000,2026-08-10,848.54, ,CSV_Import
Invoice - 2026-09-29_1090 ,Account Receivables,4000,2026-08-30,677.16, ,CSV_Import
Invoice - 2026-09-15_1091 ,Account Receivables,4000,2026-08-16,1332.38, ,CSV_Import
Invoice - 2026-09-11_1092 ,Account Receivables,4000,2026-08-12,561.17, ,CSV_Import
Invoice - 2026-09-12_1093 ,Account Receivables,4000,2026-08-13,656.26, ,CSV_Import
Invoice - 2026-09-27_1094 ,Account Receivables,4000,2026-08-28,863.17, ,CSV_Import
