transaction,account_key,client_key,journal_date_key,debit_amount,credit_amount,?column?
Invoice - 2026-09-09_1001 ,Inventory,4000,2026-08-10, ,2088.0,CSV_Import
Invoice - 2026-10-02_1002 ,Inventory,4000,2026-09-02, ,505.0,CSV_Import
Invoice - 2026-09-22_1003 ,Inventory,4000,2026-08-23, ,1286.0,CSV_Import
Invoice - 2026-10-01_1004 ,Inventory,4000,2026-09-01, ,240.0,CSV_Import
Invoice - 2026-10-01_1005 ,Inventory,4000,2026-09-01, ,1120.0,CSV_Import
Invoice - 2026-09-05_1006 ,Inventory,4000,2026-08-06, ,1268.0,CSV_Import
Invoice - 2026-10-03_1007 ,Inventory,4000,2026-09-03, ,476.0,CSV_Import
Invoice - 2026-09-28_1008 ,Inventory,4000,2026-08-29, ,526.0,CSV_Import
Invoice - 2026-09-14_1009 ,Inventory,4000,2026-08-15, ,698.0,CSV_Import
Invoice - 2026-09-17_1010 ,Inventory,4000,2026-08-18, ,572.0,CSV_Import
Invoice - 2026-09-18_1011 ,Inventory,4000,2026-08-19, ,357.0,CSV_Import
Invoice - 2026-09-10_1012 ,Inventory,4000,2026-08-11, ,1020.0,CSV_Import
Invoice - 2026-09-19_1013 ,Inventory,4000,2026-08-20, ,733.0,CSV_Import
Invoice - 2026-09-14_1014 ,Inventory,4000,2026-08-15, ,828.0,CSV_Import
Invoice - 2026-09-08_1015 ,Inventory,4000,2026-08-09, ,624.0,CSV_Import
Invoice - 2026-09-17_1016 ,Inventory,4000,2026-08-18, ,471.0,CSV_Import
Invoice - 2026-10-02_1017 ,Inventory,4000,2026-09-02, ,569.0,CSV_Import
Invoice - 2026-09-15_1018 ,Inventory,4000,2026-08-16, ,1053.0,CSV_Import
Invoice - 2026-09-26_1019 ,Inventory,4000,2026-08-27, ,573.0,CSV_Import
Invoice - 2026-09-30_1020 ,Inventory,4000,2026-08-31, ,713.0,CSV_Import
Invoice - 2026-09-28_1021 ,Inventory,4000,2026-08-29, ,787.0,CSV_Import
Invoice - 2026-09-27_1022 ,Inventory,4000,2026-08-28, ,307.0,CSV_Import
Invoice - 2026-10-02_1023 ,Inventory,4000,2026-09-02, ,738.0,CSV_Import
Invoice - 2026-09-27_1024 ,Inventory,4000,2026-08-28, ,608.0,CSV_Import
Invoice - 2026-09-26_1025 ,Inventory,4000,2026-08-27, ,506.0,CSV_Import
Invoice - 2026-09-25_1026 ,Inventory,4000,2026-08-26, ,1071.0,CSV_Import
Invoice - 2026-09-23_1027 ,Inventory,4000,2026-08-24, ,1094.0,CSV_Import
Invoice - 2026-09-14_1028 ,Inventory,4000,2026-08-15, ,356.0,CSV_Import
Invoice - 2026-09-24_1029 ,Inventory,4000,2026-08-25, ,879.0,CSV_Import
Invoice - 2026-09-15_1030 ,Inventory,4000,2026-08-16, ,683.0,CSV_Import
Invoice - 2026-09-29_1031 ,Inventory,4000,2026-08-30, ,552.0,CSV_Import
Invoice - 2026-09-12_1032 ,Inventory,4000,2026-08-13, ,683.0,CSV_Import
Invoice - 2026-09-29_1033 ,Inventory,4000,2026-08-30, ,1187.0,CSV_Import
Invoice - 2026-09-24_1034 ,Inventory,4000,2026-08-25, ,830.0,CSV_Import
Invoice - 2026-09-30_1035 ,Inventory,4000,2026-08-31, ,939.0,CSV_Import
Invoice - 2026-09-30_1036 ,Inventory,4000,2026-08-31, ,737.0,CSV_Import
Invoice - 2026-10-01_1037 ,Inventory,4000,2026-09-01, ,390.0,CSV_Import
Invoice - 2026-09-06_1038 ,Inventory,4000,2026-08-07, ,678.0,CSV_Import
Invoice - 2026-09-13_1039 ,Inventory,4000,2026-08-14, ,856.0,CSV_Import
Invoice - 2026-09-13_1040 ,Inventory,4000,2026-08-14, ,680.0,CSV_Import
Invoice - 2026-09-07_1041 ,Inventory,4000,2026-08-08, ,500.0,CSV_Import
Invoice - 2026-09-24_1042 ,Inventory,4000,2026-08-25, ,897.0,CSV_Import
Invoice - 2026-09-22_1043 ,Inventory,4000,2026-08-23, ,634.0,CSV_Import
Invoice - 2026-09-10_1044 ,Inventory,4000,2026-08-11, ,1177.0,CSV_Import
Invoice - 2026-09-11_1045 ,Inventory,4000,2026-08-12, ,837.0,CSV_Import
Invoice - 2026-09-11_1046 ,Inventory,4000,2026-08-12, ,692.0,CSV_Import
Invoice - 2026-09-17_1047 ,Inventory,4000,2026-08-18, ,875.0,CSV_Import
Invoice - 2026-09-06_1048 ,Inventory,4000,2026-08-07, ,1210.0,CSV_Import
Invoice - 2026-09-17_1049 ,Inventory,4000,2026-08-18, ,686.0,CSV_Import
Invoice - 2026-09-15_1050 ,Inventory,4000,2026-08-16, ,882.0,CSV_Import
Invoice - 2026-09-21_1051 ,Inventory,4000,2026-08-22, ,730.0,CSV_Import
Invoice - 2026-09-08_1052 ,Inventory,4000,2026-08-09, ,674.0,CSV_Import
Invoice - 2026-09-12_1053 ,Inventory,4000,2026-08-13, ,303.0,CSV_Import
Invoice - 2026-09-21_1054 ,Inventory,4000,2026-08-22, ,815.0,CSV_Import
Invoice - 2026-09-11_1055 ,Inventory,4000,2026-08-12, ,999.0,CSV_Import
Invoice - 2026-10-02_1056 ,Inventory,4000,2026-09-02, ,350.0,CSV_Import
Invoice - 2026-09-16_1057 ,Inventory,4000,2026-08-17, ,327.0,CSV_Import
Invoice - 2026-09-08_1058 ,Inventory,4000,2026-08-09, ,950.0,CSV_Import
